CO_HEI;HEI;Ownership;STUDENTS;ST_RESEARCH_GRANT;ST_COMPLETING;PUB_SC;PATENTS_UM;ST_DROPOUT;FACULTY;AGE;PHD;MA;PRES;GRAD;RESEARCH;FTE;FTNE;PART;HOUR;TEC;TEC_SUP;TEC_SPEC;TEC_MA;TEC_PHD;PORTAL_CAPES;VIRT_JOURNAL;VIRT_BOOK;VL_RECEITA_PROPRIA;VL_RECEITA_TRANSFERENCIA;VL_RECEITA_OUTRA;VL_RECEITA_TOTAL;VL_DESPESA_PESSOAL_DOCENTE;VL_DESPESA_PESSOAL_TECNICO;VL_DESPESA_PESSOAL_ENCARGO;VL_DESPESA_CUSTEIO;VL_DESPESA_INVESTIMENTO;VL_DESPESA_PESQUISA;VL_DESPESA_OUTRA;VL_DESPESA_TOTAL
596;UFVJM;Public;10246;374;1176;317;0;1444;882;40,7;585;219;784;360;549;655;125;36;0;732;147;279;168;20;1;0;0;1581170,73;279177331,7;36389,79;280794892,2;165856632,1;0;44608007,36;44405549,15;12571740,39;566492,07;10812737,37;278821158,4
597;UFTM;Public;7332;348;727;363;3;914;668;42,7;529;122;610;283;540;465;90;76;0;1501;317;625;237;89;1;0;0;497755,63;3679527,41;0;4177283,04;84348966,59;57826226,76;68620051,61;40773973,69;6107667,4;879448,45;0;258556334,5
598;UNIFEI;Public;7986;2;804;250;14;645;521;43,1;405;91;486;208;385;452;40;6;0;367;101;157;62;0;1;0;6000;978934,31;214910133,8;0;215889068,1;75395281,33;25299917,44;45302877,55;43193838,89;11801484,45;50468,57;39516996,57;240560864,8
602;ITA;Public;814;0;133;365;0;34;254;47;230;16;230;128;171;230;9;3;12;122;48;10;5;14;1;202;754875;1549000;37151852,61;0;38700852,61;1;1;1;13956450,51;23307828,8;432000;777675,27;38473957,58
633;IME;Public;297;76;92;77;1;4;200;50,8;147;49;182;104;120;57;118;20;0;297;89;36;17;20;1;0;13315;1601569,73;114665,95;98715507,85;100431743,5;22257304,67;64532218,72;0;9973239,73;533676,84;229331,9;2193636,33;99719408,19
636;ESPM;Private;5073;45;925;33;0;308;241;48,4;140;96;241;21;34;0;100;34;107;413;203;58;20;3;1;10393;16882;315658266,5;0;18263547,4;333921813,9;81089415;50327847,38;83227569,74;88112285,98;28346713,19;18105849,7;863987,97;350073669
664;UVV;Private;12963;0;1562;0;0;1442;473;45,5;169;249;445;41;121;0;190;169;109;248;99;37;9;1;1;1000;1000;146239136,3;44929078,42;474477,13;191642691,9;63476731,37;20557931,06;36414593,95;43196751,94;0;126789,36;0;163772797,7
672;FACENS;Private;5057;0;105;0;0;553;142;44,1;35;74;141;1;41;0;37;62;42;282;103;48;65;2;0;150;1200;67245025,64;0;4261856,69;71506882,33;14913144,5;12334982,8;4388874,28;11399148,37;4220235,6;2722046,98;4107557,4;54085989,93
693;UNIRIO;Public;11706;749;1018;309;0;1418;887;50,8;692;157;867;279;524;640;170;71;0;1951;1043;217;104;28;1;1;14130;776127,97;683934668,4;0;684710796,4;133151467,4;109779160,2;23831494,56;58108399,37;22179075,32;0;0;347049596,8
705;FSJ;Private;3824;0;383;0;0;195;169;43,9;98;68;169;0;98;0;58;47;64;203;76;7;0;0;1;280;10385;22084245,91;0;558209,4;22642455,31;4668328,27;2919814,23;3719031,62;0;2172391,01;813423,43;3750302,25;18043290,81
752;FAPAM;Private;1435;0;165;0;0;104;84;43,3;9;62;83;1;5;0;2;39;42;96;15;15;26;6;0;0;16511;9986996,23;0;121749,45;10108745,68;4546854,11;1531445,58;2263171,05;1875494,56;185569,21;0;415595,7;10818130,21
